Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Total_Children,Total_Spending,Total_Transactions,Conversion_Rate,Marital_Cerai,Marital_Duda,Marital_Janda,Marital_Lajang,Marital_Menikah
1946,3,37760000.0,0,0,20,84000,5000,38000,150000,12000,28000,2,4,1,6,7,0,0,0,0,0,0,0,77,0,317000,13,0.0,False,False,False,False,False
1949,4,76995000.0,0,1,91,1012000,80000,498000,0,16000,176000,2,11,4,9,5,0,0,0,1,0,0,0,74,1,1782000,26,0.0,False,False,False,False,True
1985,2,33812000.0,1,0,86,4000,17000,19000,30000,24000,39000,2,2,1,3,6,0,0,0,0,0,0,0,38,1,133000,8,0.0,False,False,False,True,False
1982,3,37040000.0,0,0,41,86000,2000,73000,69000,38000,48000,1,4,2,5,8,0,0,0,0,0,0,0,41,0,316000,12,0.0,False,False,False,False,True
1979,3,2447000.0,1,0,42,1000,1000,1725000,1000,1000,1000,15,0,28,0,1,0,0,0,0,0,0,0,44,1,1730000,43,0.0,False,False,False,False,True
1949,5,58607000.0,0,1,63,867000,0,86000,0,0,19000,3,2,3,9,8,0,1,0,0,0,0,0,74,1,972000,17,0.0,False,False,False,False,True
1954,5,65324000.0,0,1,0,384000,0,102000,21000,32000,5000,3,6,2,9,4,0,0,0,0,0,0,0,69,1,544000,20,0.0,False,False,False,False,True
1951,3,40689000.0,0,1,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,0,72,1,444000,20,0.0,False,False,False,False,False
1969,3,18589000.0,0,0,89,6000,4000,25000,15000,12000,13000,2,2,1,3,7,0,0,0,0,0,0,0,54,0,75000,8,0.0,False,False,False,True,False
1976,3,53359000.0,1,1,4,173000,4000,30000,3000,6000,41000,4,5,1,4,7,0,0,0,0,0,0,0,47,2,257000,14,0.0,False,False,False,False,True
1986,3,51381500.0,1,0,19,5000,1000,3000,3000,263000,362000,0,27,0,0,1,0,0,0,0,0,0,0,37,1,637000,27,0.0,False,False,False,True,False
1989,3,38360000.0,1,0,26,36000,2000,42000,20000,21000,10000,2,2,1,4,3,0,0,0,0,0,0,0,34,1,131000,9,0.0,False,False,False,False,True
1965,5,84618000.0,0,0,96,684000,100000,801000,21000,66000,0,1,6,9,10,2,0,0,1,0,0,0,0,58,0,1672000,26,0.0,False,False,False,False,True
1989,4,10979000.0,0,0,34,8000,4000,10000,2000,2000,4000,2,3,0,3,5,0,0,0,0,0,0,0,34,0,30000,8,0.0,True,False,False,False,False
1963,4,38620000.0,0,0,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,60,0,318000,11,0.0,False,False,False,False,False
1970,3,40548000.0,0,1,31,110000,0,5000,2000,0,3000,2,2,1,4,5,0,1,0,0,0,0,0,53,1,120000,9,0.0,False,False,False,False,False
1952,5,46610000.0,0,2,8,96000,12000,96000,33000,22000,43000,6,4,1,6,6,0,0,0,0,0,0,1,71,2,302000,17,0.1666666666666666,True,False,False,False,False
1946,4,68657000.0,0,0,4,482000,34000,471000,119000,68000,22000,1,3,5,9,7,0,0,0,0,0,0,0,77,0,1196000,18,0.0,False,False,False,False,True
1951,4,49389000.0,1,1,55,40000,0,19000,2000,1000,3000,1,2,0,3,7,0,0,0,0,0,0,0,72,2,65000,6,0.0,False,False,False,True,False
1970,5,67353000.0,0,1,37,702000,17000,151000,0,8000,35000,5,5,6,12,2,0,0,0,0,0,0,0,53,1,913000,28,0.0,False,False,False,False,True
1976,2,23718000.0,1,0,76,6000,3000,14000,15000,7000,36000,3,3,1,2,7,0,0,0,0,0,0,0,47,1,81000,9,0.0,False,False,False,False,True
1973,3,42429000.0,0,1,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,0,50,1,67000,7,0.0,False,False,True,False,False
1943,5,48948000.0,0,0,53,437000,8000,206000,160000,49000,42000,2,7,10,5,6,1,0,0,0,0,0,1,80,0,902000,24,0.1666666666666666,True,False,False,False,False
1980,3,80011000.0,0,1,3,421000,76000,536000,82000,178000,102000,2,8,6,5,4,0,0,0,0,0,0,0,43,1,1395000,21,0.0,False,False,False,False,True
1985,4,20559000.0,1,0,88,13000,1000,29000,3000,0,7000,2,2,0,3,8,0,0,0,0,0,0,0,38,1,53000,7,0.0,False,False,False,False,True
1957,3,21994000.0,0,1,4,9000,0,6000,3000,1000,3000,1,0,0,3,5,0,0,0,0,0,0,0,66,1,22000,4,0.0,False,False,False,False,False
1959,5,51381500.0,0,0,80,81000,11000,50000,3000,2000,39000,1,1,3,4,2,0,0,0,0,0,0,0,64,0,186000,9,0.0,False,False,False,True,False
1975,4,7500000.0,1,0,19,3000,1000,10000,3000,2000,12000,3,2,0,3,5,0,0,0,0,0,0,0,48,1,31000,8,0.0,False,False,False,False,True
1976,3,79941000.0,0,0,72,123000,164000,266000,227000,30000,174000,1,2,4,9,1,0,0,0,0,0,0,0,47,0,984000,16,0.0,False,False,False,True,False
1996,2,7500000.0,0,0,24,3000,18000,14000,15000,22000,50000,3,3,1,3,9,0,0,0,0,0,0,1,27,0,122000,10,0.1111111111111111,False,False,False,False,True
1968,3,41728000.0,1,0,92,13000,6000,15000,3000,5000,13000,1,2,0,2,10,0,0,0,0,0,0,0,55,1,55000,5,0.0,False,False,False,False,False
1951,3,51381500.0,2,1,96,48000,5000,48000,6000,10000,7000,3,2,1,4,6,0,0,0,0,0,0,0,72,3,124000,10,0.0,False,False,False,True,False
1954,5,72550000.0,1,1,39,826000,50000,317000,50000,38000,38000,9,5,2,12,8,0,0,0,0,0,0,0,69,2,1319000,28,0.0,False,False,False,False,True
1957,3,65486000.0,0,1,29,245000,19000,125000,37000,67000,14000,1,4,2,10,2,0,0,0,0,0,0,0,66,1,507000,17,0.0,False,False,True,False,False
1964,4,79143000.0,0,0,2,650000,37000,780000,27000,167000,32000,1,6,9,13,3,0,0,0,0,0,0,0,59,0,1693000,29,0.0,False,False,False,False,True
1977,3,35790000.0,1,0,54,12000,6000,20000,30000,1000,3000,2,2,0,3,7,0,0,0,0,0,0,0,46,1,72000,7,0.0,False,False,False,True,False
1977,3,82582000.0,0,0,54,510000,120000,550000,156000,40000,241000,1,4,9,7,1,1,0,0,1,0,0,1,46,0,1617000,21,1.0,True,False,False,False,False
1978,3,66373000.0,1,1,57,328000,9000,124000,12000,24000,109000,7,4,2,10,3,0,0,0,0,0,0,0,45,2,606000,23,0.0,False,False,False,False,True
1955,4,82384000.0,0,0,55,984000,51000,432000,180000,120000,190000,1,3,10,13,1,0,0,1,0,0,0,1,68,0,1957000,27,1.0,False,False,False,False,False
1966,3,70287000.0,0,0,30,295000,35000,482000,121000,120000,40000,1,5,5,10,3,0,0,0,0,0,0,1,57,0,1093000,21,0.3333333333333333,True,False,False,False,False
1988,3,27938000.0,1,0,31,13000,0,8000,2000,1000,5000,1,1,0,4,3,0,0,0,0,0,0,0,35,1,29000,6,0.0,False,False,False,True,False
1982,3,51381500.0,1,0,57,11000,3000,22000,2000,2000,6000,2,2,0,3,6,0,0,0,0,0,0,0,41,1,46000,7,0.0,False,False,False,True,False
1968,5,55954000.0,0,1,63,447000,0,28000,0,0,43000,3,8,2,6,7,0,0,0,0,0,0,0,55,1,518000,19,0.0,False,False,False,False,True
1982,4,75777000.0,0,0,12,712000,26000,538000,69000,13000,80000,1,3,6,11,1,0,1,1,0,0,0,1,41,0,1438000,21,1.0,False,False,False,True,False
1975,3,66653000.0,1,1,18,452000,18000,102000,16000,18000,6000,4,4,2,12,3,0,0,0,0,0,0,0,48,2,612000,22,0.0,False,False,False,False,False
1952,3,61823000.0,0,1,26,523000,7000,134000,37000,14000,169000,4,8,2,10,7,0,0,0,0,0,0,0,71,1,884000,24,0.0,False,False,False,True,False
1951,5,67680000.0,0,1,8,546000,0,48000,0,6000,6000,1,7,3,8,5,0,0,0,0,0,0,0,72,1,606000,19,0.0,False,False,True,False,False
1948,3,70666000.0,0,0,29,398000,40000,367000,119000,122000,30000,1,7,4,4,4,0,0,0,0,0,0,0,75,0,1076000,16,0.0,False,False,False,False,False
1971,3,25721000.0,1,0,75,1000,3000,6000,3000,6000,15000,1,1,1,2,7,0,0,0,0,0,0,1,52,1,34000,5,0.1428571428571428,False,False,False,False,True
1967,3,32474000.0,1,1,0,10000,0,1000,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,56,2,11000,4,0.0,False,False,False,False,False
1979,2,88194000.0,0,1,19,688000,14000,309000,201000,24000,38000,1,11,10,10,5,1,0,0,1,0,0,1,44,1,1274000,32,0.2,False,False,False,True,False
1958,3,69096000.0,0,1,4,247000,49000,159000,7000,82000,109000,1,5,2,10,4,0,0,0,0,0,0,0,65,1,653000,18,0.0,False,False,False,False,False
1970,3,74854000.0,1,2,90,856000,59000,487000,58000,29000,73000,7,2,5,5,5,0,0,0,0,0,0,0,53,3,1562000,19,0.0,False,False,False,False,False
1954,4,66991000.0,0,0,1,496000,36000,460000,189000,60000,12000,3,4,8,6,3,0,0,0,0,0,0,0,69,0,1253000,21,0.0,False,False,False,False,True
1973,2,51381500.0,1,0,25,25000,3000,43000,17000,4000,17000,3,3,0,3,8,0,0,0,0,0,0,0,50,1,109000,9,0.0,False,False,False,False,True
1959,3,65031000.0,0,1,29,258000,107000,291000,84000,37000,86000,4,10,3,13,7,0,0,0,0,0,0,0,64,1,863000,30,0.0,False,False,False,False,True
1975,5,60631000.0,1,1,88,565000,6000,65000,0,6000,19000,5,9,2,8,7,0,1,0,0,0,0,0,48,2,661000,24,0.0,False,False,False,False,True
1952,3,28332000.0,0,0,58,14000,10000,13000,4000,15000,9000,1,2,1,4,2,0,0,0,0,0,0,0,71,0,65000,8,0.0,False,False,False,False,True
1977,3,40246000.0,1,0,68,2000,1000,6000,2000,1000,1000,1,1,0,2,6,0,0,0,0,0,0,0,46,1,13000,4,0.0,True,False,False,False,False
1972,4,75251000.0,0,0,34,721000,111000,925000,97000,18000,18000,1,7,6,5,5,0,0,0,0,0,0,1,51,0,1890000,19,0.2,False,False,False,False,True
1976,3,75825000.0,0,0,40,1032000,105000,779000,137000,105000,51000,0,5,8,9,4,1,0,0,0,0,0,1,47,0,2209000,22,0.25,False,False,False,True,False
1976,2,26326000.0,0,0,12,1000,0,5000,0,3000,9000,1,0,0,3,3,0,0,0,0,0,1,0,47,0,18000,4,0.0,False,False,False,False,False
1965,3,56046000.0,0,0,9,577000,0,64000,0,0,51000,2,10,1,8,8,1,0,0,0,0,0,1,58,0,692000,21,0.125,False,False,False,False,False
1985,3,29760000.0,1,0,87,64000,4000,68000,7000,5000,17000,4,3,1,4,8,0,0,0,0,0,0,0,38,1,165000,12,0.0,False,False,False,True,False
1969,3,26304000.0,1,0,5,4000,1000,5000,2000,0,4000,1,1,0,2,7,0,0,0,0,0,0,0,54,1,16000,4,0.0,False,False,False,False,True
1973,2,23559000.0,1,0,87,25000,5000,19000,7000,0,23000,3,3,0,3,7,0,0,0,0,0,0,0,50,1,79000,9,0.0,False,False,False,False,True
1963,4,38620000.0,0,0,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,60,0,318000,11,0.0,False,False,False,False,False
1987,3,81361000.0,0,0,18,163000,23000,424000,27000,65000,76000,1,3,10,13,1,0,0,0,0,0,0,0,36,0,778000,27,0.0,True,False,False,False,False
1960,3,29440000.0,1,1,95,17000,8000,14000,10000,4000,3000,2,1,0,4,7,0,0,0,0,0,0,0,63,2,56000,7,0.0,False,False,False,False,True
1970,4,36138000.0,1,1,48,130000,0,16000,0,0,5000,5,3,1,4,7,0,1,0,0,0,0,0,53,2,151000,13,0.0,False,False,False,False,True
1957,3,50388000.0,0,1,3,292000,6000,37000,0,3000,34000,4,6,1,6,7,0,1,0,1,0,0,1,66,1,372000,17,0.1428571428571428,False,False,False,True,False
1973,3,79593000.0,0,0,70,350000,60000,568000,110000,133000,145000,1,5,6,7,2,0,0,1,0,0,0,0,50,0,1366000,19,0.0,False,False,False,False,True
1967,3,54178000.0,0,1,79,135000,9000,39000,4000,0,7000,1,2,2,5,2,0,0,0,0,0,0,0,56,1,194000,10,0.0,False,False,False,False,False
1957,5,51381500.0,2,1,4,230000,42000,192000,49000,37000,53000,12,7,2,8,9,0,0,0,0,0,0,0,66,3,603000,29,0.0,False,False,False,False,True
1957,3,51381500.0,1,1,45,7000,0,8000,2000,0,1000,1,1,0,2,7,0,0,0,0,0,0,0,66,2,18000,4,0.0,False,False,False,True,False
1973,4,51381500.0,0,0,87,445000,37000,359000,98000,28000,18000,1,2,4,8,1,0,0,0,0,0,0,0,50,0,985000,15,0.0,False,False,False,False,False
1972,4,42394000.0,1,0,69,15000,2000,10000,0,1000,4000,1,1,0,3,7,0,0,0,0,0,0,0,51,1,32000,5,0.0,False,False,False,True,False
1970,5,23626000.0,1,0,84,27000,2000,14000,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,53,1,43000,10,0.0,False,False,False,False,True
1983,3,30096000.0,1,0,30,5000,3000,11000,12000,5000,9000,1,2,0,3,6,0,0,0,0,0,0,0,40,1,45000,6,0.0,False,False,False,False,True
1960,3,47916000.0,0,1,72,505000,0,26000,0,0,75000,5,7,4,6,6,0,1,0,0,0,0,0,63,1,606000,22,0.0,False,False,True,False,False
1972,3,51813000.0,1,1,37,51000,2000,7000,0,1000,2000,2,2,0,3,7,0,0,0,0,0,0,0,51,2,63000,7,0.0,True,False,False,False,False
1951,2,78497000.0,0,0,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,0,72,0,978000,25,0.0,False,False,False,False,True
1983,5,50150000.0,0,0,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,0,40,0,410000,16,0.0,False,False,False,False,True
1960,2,47823000.0,0,1,0,53000,1000,5000,2000,1000,10000,2,2,0,3,8,0,0,0,0,0,0,0,63,1,72000,7,0.0,False,False,False,True,False
1959,5,34554000.0,0,1,43,41000,1000,6000,2000,0,5000,2,2,0,3,6,0,0,0,0,0,0,0,64,1,55000,7,0.0,False,False,False,True,False
1979,3,85693000.0,0,1,59,386000,172000,183000,185000,132000,111000,2,9,5,11,5,0,0,0,0,0,0,0,44,1,1169000,27,0.0,False,False,False,False,False
1945,5,65846000.0,0,0,68,562000,81000,276000,80000,40000,81000,1,6,3,6,4,0,0,0,0,0,0,0,78,0,1120000,16,0.0,False,False,False,False,True
1959,3,87195000.0,0,0,35,217000,76000,690000,50000,26000,38000,1,3,11,5,1,0,0,0,0,0,0,1,64,0,1097000,20,1.0,False,False,False,False,True
1979,1,24594000.0,1,0,94,1000,3000,6000,10000,0,9000,1,1,0,3,5,0,0,0,0,0,0,0,44,1,29000,5,0.0,False,False,False,False,False
1964,3,49096000.0,1,1,15,144000,1000,32000,2000,1000,7000,4,4,1,4,7,0,0,0,0,0,0,0,59,2,187000,13,0.0,False,False,False,False,True
1969,3,52413000.0,0,2,56,295000,106000,271000,75000,98000,65000,4,6,4,12,6,0,0,0,0,0,0,0,54,2,910000,26,0.0,False,False,False,False,True
1978,3,38557000.0,1,0,17,76000,3000,31000,4000,4000,27000,2,3,1,3,7,0,0,0,0,0,0,0,45,1,145000,9,0.0,False,False,False,True,False
1960,4,89058000.0,0,0,18,454000,194000,106000,31000,22000,43000,1,5,4,4,2,0,0,0,0,0,0,0,63,0,850000,14,0.0,False,False,False,False,True
1979,3,77298000.0,0,1,46,425000,115000,292000,23000,35000,79000,1,6,6,11,3,0,0,0,0,0,0,0,44,1,969000,24,0.0,False,False,False,False,False
1991,5,68126000.0,0,0,40,1332000,17000,311000,23000,51000,86000,1,7,4,5,9,0,1,0,0,0,0,1,32,0,1820000,17,0.1111111111111111,False,False,False,True,False
1963,4,57288000.0,0,1,27,527000,0,21000,0,0,60000,3,8,1,8,6,0,1,0,0,0,0,0,60,1,608000,20,0.0,False,False,False,False,False
1991,3,86037000.0,0,0,95,490000,44000,125000,29000,20000,22000,1,6,7,11,3,0,1,1,0,0,0,1,32,0,730000,25,0.3333333333333333,False,False,False,True,False
1980,5,43974000.0,1,0,19,378000,0,101000,0,0,72000,5,6,4,6,7,0,0,0,0,0,0,0,43,1,551000,21,0.0,False,False,False,False,True
1962,3,50785000.0,1,1,27,64000,1000,21000,0,1000,27000,2,2,1,3,6,0,0,0,0,0,0,0,61,2,114000,8,0.0,False,False,False,True,False
1970,3,90765000.0,0,0,25,547000,99000,812000,151000,82000,33000,0,4,6,5,1,0,0,1,1,0,0,0,53,0,1724000,15,0.0,False,False,False,False,True
1978,2,36550000.0,1,0,74,47000,90000,94000,123000,103000,120000,5,9,1,5,9,0,0,0,0,0,0,0,45,1,577000,20,0.0,False,False,False,False,True
1967,2,30753000.0,1,1,85,12000,5000,25000,0,9000,30000,2,1,1,3,5,0,0,0,0,0,0,0,56,2,81000,7,0.0,False,False,False,False,False
1969,3,21918000.0,1,0,37,1000,6000,7000,11000,5000,3000,2,2,0,3,6,0,0,0,0,0,0,0,54,1,33000,7,0.0,False,False,False,False,False
1953,4,56129000.0,0,1,65,320000,48000,133000,39000,72000,48000,4,6,2,10,4,0,0,0,0,0,0,0,70,1,660000,22,0.0,False,False,False,False,False
1967,4,32557000.0,1,0,13,34000,3000,29000,0,4000,10000,3,2,1,3,5,0,0,0,0,0,0,1,56,1,80000,9,0.2,False,False,False,True,False
1985,4,19510000.0,2,0,63,9000,0,7000,3000,4000,7000,2,1,0,3,7,0,0,0,0,0,0,0,38,2,30000,6,0.0,False,False,False,False,True
1976,3,30992000.0,1,0,83,17000,0,14000,7000,3000,2000,1,1,0,3,7,0,0,0,0,0,0,0,47,1,43000,5,0.0,True,False,False,False,False
1983,3,101970000.0,0,0,69,722000,27000,102000,44000,72000,168000,0,6,8,13,2,0,1,1,1,0,0,1,40,0,1135000,27,0.5,False,False,False,True,False
1965,2,71488000.0,0,0,87,162000,33000,124000,40000,28000,172000,2,3,4,7,1,0,0,0,0,0,0,0,58,0,559000,16,0.0,False,False,False,False,False
1984,3,79607000.0,0,0,37,450000,133000,951000,173000,0,216000,1,3,6,6,1,0,0,0,0,0,0,1,39,0,1923000,16,1.0,False,False,False,True,False
1953,4,54348000.0,1,1,51,70000,0,16000,0,0,4000,2,2,0,4,6,0,0,0,0,0,0,0,70,2,90000,8,0.0,False,False,False,False,True
1961,5,51381500.0,0,1,23,352000,0,27000,10000,0,15000,3,6,1,7,6,0,0,0,0,0,0,0,62,1,404000,17,0.0,False,False,False,False,True
1956,5,77376000.0,1,1,72,492000,19000,110000,16000,12000,12000,4,6,3,10,4,0,0,0,0,0,0,0,67,2,661000,23,0.0,False,False,False,False,False
1952,3,62998000.0,0,1,10,120000,58000,73000,65000,89000,58000,5,5,4,5,5,0,0,0,0,0,0,0,71,1,463000,19,0.0,False,False,False,False,True
1958,4,61331000.0,1,1,42,534000,5000,47000,0,5000,41000,5,11,1,6,8,0,0,0,0,0,0,0,65,2,632000,23,0.0,False,True,False,False,False
1969,3,73448000.0,0,0,10,236000,106000,189000,23000,41000,130000,1,7,2,9,4,0,0,0,0,0,0,0,54,0,725000,19,0.0,False,False,False,False,True
1963,3,51381500.0,0,1,96,231000,65000,196000,38000,71000,124000,1,6,5,7,4,0,0,0,0,0,0,0,60,1,725000,19,0.0,False,False,False,False,True
1964,5,41551000.0,1,1,51,220000,0,33000,3000,0,23000,5,5,1,5,8,0,0,0,0,0,0,0,59,2,279000,16,0.0,False,False,False,False,True
1967,5,62981000.0,0,0,21,796000,14000,590000,38000,44000,0,1,4,5,13,3,0,1,0,0,0,0,0,56,0,1482000,23,0.0,False,False,False,False,False
1976,1,9548000.0,1,0,31,0,1000,3000,10000,6000,9000,2,1,0,3,8,0,0,0,0,0,0,0,47,1,29000,6,0.0,True,False,False,False,False
1959,5,33762000.0,2,1,61,53000,1000,34000,2000,0,16000,3,2,2,2,8,0,0,0,0,0,0,0,64,3,106000,9,0.0,False,False,False,False,True
1973,5,35860000.0,1,1,37,15000,0,8000,4000,2000,20000,2,1,1,2,5,1,0,0,0,0,0,1,50,2,49000,6,0.2,False,True,False,False,False
1965,5,36921000.0,1,1,74,17000,1000,12000,3000,1000,4000,2,2,0,3,7,0,0,0,0,0,0,0,58,2,38000,7,0.0,True,False,False,False,False
1992,4,92859000.0,0,0,46,962000,61000,921000,52000,61000,20000,1,5,4,12,2,0,0,0,0,0,0,0,31,0,2077000,22,0.0,False,False,False,True,False
1976,4,65104000.0,0,1,4,738000,0,232000,13000,20000,50000,2,3,5,7,7,0,0,0,0,0,0,1,47,1,1053000,17,0.1428571428571428,False,False,False,False,False
1962,3,86111000.0,0,0,73,399000,28000,756000,36000,40000,126000,1,5,7,10,2,0,0,0,0,0,0,0,61,0,1385000,23,0.0,False,False,False,False,True
1974,5,68352000.0,0,1,47,614000,16000,132000,43000,33000,33000,3,8,5,9,6,0,0,0,0,0,0,0,49,1,871000,25,0.0,False,False,False,True,False
1988,3,41883000.0,1,0,13,32000,34000,41000,73000,16000,116000,3,4,2,3,7,0,0,0,0,0,0,0,35,1,312000,12,0.0,False,False,False,False,False
1976,3,59809000.0,0,2,36,598000,16000,141000,32000,41000,49000,3,3,3,6,8,0,0,0,0,0,0,0,47,2,877000,15,0.0,False,False,False,False,True
1975,3,23957000.0,1,0,47,2000,1000,18000,20000,11000,16000,1,2,0,3,6,0,0,0,0,0,0,1,48,1,68000,6,0.1666666666666666,False,False,False,False,True
1981,3,38547000.0,1,0,49,6000,1000,10000,0,1000,4000,1,1,0,2,8,0,0,0,0,0,1,0,42,1,22000,4,0.0,False,False,False,False,False
1973,2,35688000.0,2,1,94,73000,3000,90000,12000,1000,32000,7,4,1,4,8,0,0,0,0,0,0,0,50,3,211000,16,0.0,False,False,False,False,True
1966,4,49605000.0,0,0,65,42000,16000,29000,12000,20000,8000,1,2,1,4,3,0,0,0,0,0,0,0,57,0,127000,8,0.0,False,False,False,False,True
1953,4,59354000.0,0,2,59,295000,21000,78000,39000,13000,13000,1,4,4,7,3,0,0,0,0,0,0,0,70,2,459000,16,0.0,False,False,False,False,True
1969,3,65747000.0,0,1,96,346000,17000,48000,23000,13000,13000,4,8,1,6,6,0,1,0,0,0,0,0,54,1,460000,19,0.0,False,False,False,False,True
1972,2,46344000.0,0,1,28,233000,20000,57000,8000,20000,91000,4,7,1,5,7,0,0,0,0,0,0,0,51,1,429000,17,0.0,False,False,False,False,False
1988,3,34176000.0,1,0,12,5000,7000,24000,19000,14000,20000,4,3,0,4,6,0,0,0,0,0,0,0,35,1,89000,11,0.0,False,True,False,False,False
1952,5,61010000.0,0,1,57,888000,0,57000,0,0,76000,2,8,5,11,5,0,0,0,0,0,0,0,71,1,1021000,26,0.0,False,False,False,False,False
1949,3,69372000.0,0,0,10,997000,26000,269000,34000,13000,42000,1,10,4,6,4,0,1,1,0,0,0,1,74,0,1381000,21,0.25,False,False,False,False,False
1958,3,49967000.0,0,1,4,212000,6000,69000,4000,12000,3000,3,6,1,5,7,0,0,0,0,0,0,0,65,1,306000,15,0.0,False,False,False,True,False
1978,3,60199000.0,1,2,49,8000,1000,7000,2000,0,0,1,0,0,3,4,0,0,0,0,0,0,0,45,3,18000,4,0.0,False,False,False,True,False
1977,3,55375000.0,0,1,3,42000,11000,57000,10000,28000,14000,1,1,1,6,2,0,0,0,0,0,0,0,46,1,162000,9,0.0,False,False,False,False,False
1955,3,80317000.0,0,0,64,536000,11000,387000,149000,91000,57000,1,3,4,10,1,0,0,0,0,0,0,0,68,0,1231000,18,0.0,False,False,False,True,False
1958,4,30523000.0,2,1,0,5000,0,3000,0,0,5000,1,1,0,2,7,0,0,0,0,0,0,0,65,3,13000,4,0.0,False,False,False,True,False
1945,5,70356000.0,0,0,20,1349000,16000,249000,43000,16000,33000,2,10,6,9,6,0,0,0,0,0,0,0,78,0,1706000,27,0.0,False,False,False,False,True
1984,3,23228000.0,1,0,91,53000,3000,49000,7000,4000,5000,4,3,0,4,8,0,0,0,0,0,0,0,39,1,121000,11,0.0,False,False,False,False,True
1975,5,74165000.0,0,0,9,1001000,12000,240000,16000,12000,12000,1,5,4,10,2,0,0,0,0,0,0,0,48,0,1293000,20,0.0,True,False,False,False,False
